Date,GPU Clock [MHz],Memory Clock [MHz],GPU Temperature [�C],Memory Used [MB],GPU Load [%],Memory Controller Load [%],Video Engine Load [%],Bus Interface Load [%],Board Power Draw [W],GPU Chip Power Draw [W],PerfCap Reason [],GPU Voltage [V],CPU Temperature [�C],System Memory Used [MB],
2020-06-07 21:16:53 ,         177.0   ,            202.5   ,               52.0   ,            706   ,          0   ,                        8   ,                   0   ,                    0   ,                4.4   ,                   1.8   ,              16   ,        0.6000   ,               62.0   ,                 11375   ,
2020-06-07 21:16:54 ,         139.0   ,            202.5   ,               51.0   ,            682   ,         18   ,                        8   ,                   0   ,                    0   ,                4.9   ,                   1.8   ,              16   ,        0.6000   ,               77.0   ,                 11383   ,
2020-06-07 21:16:55 ,         139.0   ,            202.5   ,               51.0   ,            682   ,          0   ,                        8   ,                   0   ,                    0   ,                4.4   ,                   1.6   ,              16   ,        0.6000   ,               87.0   ,                 11396   ,
2020-06-07 21:16:56 ,        1404.5   ,           2003.4   ,               51.0   ,            698   ,         28   ,                        3   ,                   0   ,                    0   ,               23.4   ,                   6.1   ,              16   ,        0.7620   ,               67.0   ,                 11406   ,
2020-06-07 21:16:57 ,        1493.0   ,           2003.4   ,               52.0   ,            710   ,          7   ,                        2   ,                   0   ,                    0   ,               26.7   ,                   7.5   ,              16   ,        0.8000   ,               76.0   ,                 11412   ,
2020-06-07 21:16:58 ,        1493.0   ,           2003.4   ,               53.0   ,            713   ,          3   ,                        1   ,                   0   ,                    0   ,               26.4   ,                   7.2   ,              16   ,        0.8000   ,               66.0   ,                 11446   ,
2020-06-07 21:16:59 ,        1493.0   ,           2003.4   ,               53.0   ,            713   ,          0   ,                        1   ,                   0   ,                    0   ,               26.3   ,                   7.1   ,              16   ,        0.8000   ,               65.0   ,                 11460   ,
2020-06-07 21:17:00 ,        1493.0   ,           2003.4   ,               53.0   ,            713   ,          0   ,                        1   ,                   0   ,                    0   ,               26.1   ,                   6.9   ,              16   ,        0.8000   ,               63.0   ,                 11489   ,
2020-06-07 21:17:01 ,        1493.0   ,           2003.4   ,               53.0   ,            713   ,          0   ,                        1   ,                   0   ,                    0   ,               26.2   ,                   6.9   ,              16   ,        0.8000   ,               63.0   ,                 11515   ,
2020-06-07 21:17:02 ,        1493.0   ,           2003.4   ,               53.0   ,            709   ,          1   ,                        1   ,                   0   ,                    0   ,               26.0   ,                   6.9   ,              16   ,        0.8000   ,               64.0   ,                 11526   ,
