Date,GPU Clock [MHz],Memory Clock [MHz],GPU Temperature [�C],Memory Used [MB],GPU Load [%],Memory Controller Load [%],Video Engine Load [%],Bus Interface Load [%],Board Power Draw [W],GPU Chip Power Draw [W],PerfCap Reason [],GPU Voltage [V],CPU Temperature [�C],System Memory Used [MB],
2020-06-07 19:45:23 ,         810.0   ,           1499.8   ,               50.0   ,            644   ,          0   ,                        1   ,                   0   ,                    0   ,               18.3   ,                   3.7   ,              16   ,        0.6250   ,               60.0   ,                 10022   ,
2020-06-07 19:45:24 ,         810.0   ,            405.0   ,               50.0   ,            623   ,          0   ,                        4   ,                   0   ,                    0   ,               12.8   ,                   3.2   ,              16   ,        0.6250   ,               62.0   ,                 10026   ,
2020-06-07 19:45:25 ,         810.0   ,            405.0   ,               49.0   ,            619   ,          4   ,                        4   ,                   0   ,                    0   ,                7.8   ,                   2.4   ,              16   ,        0.6250   ,               70.0   ,                 10029   ,
2020-06-07 19:45:26 ,         810.0   ,            405.0   ,               49.0   ,            652   ,          0   ,                        4   ,                   0   ,                    0   ,                7.7   ,                   2.6   ,              16   ,        0.6250   ,               86.0   ,                 10175   ,
2020-06-07 19:45:27 ,         367.0   ,            202.5   ,               49.0   ,            656   ,          0   ,                        8   ,                   0   ,                    0   ,                4.6   ,                   1.8   ,              16   ,        0.6000   ,               74.0   ,                 10277   ,
2020-06-07 19:45:28 ,        1873.0   ,           1901.2   ,               51.0   ,           5496   ,          0   ,                        1   ,                   0   ,                    0   ,               32.7   ,                  13.6   ,               4   ,        1.0620   ,               88.0   ,                 10741   ,
2020-06-07 19:45:29 ,        1873.0   ,           1901.2   ,               52.0   ,           5496   ,          0   ,                        1   ,                   0   ,                    0   ,               32.7   ,                  13.6   ,               4   ,        1.0620   ,               80.0   ,                 10741   ,
2020-06-07 19:45:30 ,        1873.0   ,           1901.2   ,               52.0   ,           5496   ,          0   ,                        1   ,                   0   ,                    0   ,               32.7   ,                  13.6   ,               4   ,        1.0620   ,               87.0   ,                 10749   ,
2020-06-07 19:45:31 ,        1873.0   ,           1901.2   ,               53.0   ,           5490   ,          0   ,                        1   ,                   0   ,                    0   ,               32.8   ,                  13.6   ,               4   ,        1.0620   ,               85.0   ,                 10722   ,
2020-06-07 19:45:32 ,        1873.0   ,           1901.2   ,               53.0   ,           5477   ,          0   ,                        1   ,                   0   ,                    0   ,               32.7   ,                  13.7   ,               4   ,        1.0620   ,               83.0   ,                 10686   ,
